Time,NodeId,Energy,Energy_BS,CellId,Distance,Velocity,cellId,rnti,ccId,tbSize,mcs,rv,SINR(dB),corrupt,TBler,min_sinr,rsrp
1,3,0.129635,0,0,0,0,0,0,0,0,0,0,-inf,0,0,-inf,0
1,4,0.250126,0,0,0,0,0,0,0,0,0,0,-inf,0,0,-inf,0
1,5,0.250873,0,0,0,0,0,0,0,0,0,0,-inf,0,0,-inf,0
1,6,0.129635,0,0,0,0,0,0,0,0,0,0,-inf,0,0,-inf,0
1,7,0.251497,0,0,0,0,0,0,0,0,0,0,-inf,0,0,-inf,0
1,8,0.129635,0,0,0,0,0,0,0,0,0,0,-inf,0,0,-inf,0
1,9,0.251497,0,0,0,0,0,0,0,0,0,0,-inf,0,0,-inf,0
1,10,0.129635,0,0,0,0,0,0,0,0,0,0,-inf,0,0,-inf,0
1,11,0.250873,0,0,0,0,0,0,0,0,0,0,-inf,0,0,-inf,0
1,12,0.250873,0,0,0,0,0,0,0,0,0,0,-inf,0,0,-inf,0
1,13,0.250126,0,0,0,0,0,0,0,0,0,0,-inf,0,0,-inf,0
1,14,0.251497,0,0,0,0,0,0,0,0,0,0,-inf,0,0,-inf,0
1,15,0.249378,0,0,0,0,0,0,0,0,0,0,-inf,0,0,-inf,0
1,16,0.129635,0,0,0,0,0,0,0,0,0,0,-inf,0,0,-inf,0
1,17,0.129635,0,0,0,0,0,0,0,0,0,0,-inf,0,0,-inf,0
1,18,0.251497,0,0,0,0,0,0,0,0,0,0,-inf,0,0,-inf,0
1,19,0.249378,0,0,0,0,0,0,0,0,0,0,-inf,0,0,-inf,0
1,20,0.250873,0,0,0,0,0,0,0,0,0,0,-inf,0,0,-inf,0
1,21,0.250873,0,0,0,0,0,0,0,0,0,0,-inf,0,0,-inf,0
1,22,0.129635,0,0,0,0,0,0,0,0,0,0,-inf,0,0,-inf,0
1,23,0.251497,0,0,0,0,0,0,0,0,0,0,-inf,0,0,-inf,0
1,24,0.228813,0,0,0,0,0,0,0,0,0,0,-inf,0,0,-inf,0
1,25,0.250873,0,0,0,0,0,0,0,0,0,0,-inf,0,0,-inf,0
1,26,0.251465,0,0,0,0,0,0,0,0,0,0,-inf,0,0,-inf,0
1,27,0.129635,0,0,0,0,0,0,0,0,0,0,-inf,0,0,-inf,0
1,28,0.250873,0,0,0,0,0,0,0,0,0,0,-inf,0,0,-inf,0
